year,county,url,food_insecure_population,food_insecurity_rate,snap_above_threshold_pct,snap_below_threshold_pct,average_meal_cost,annual_food_budget_shortfall,scrape_error
2019,Allegany,https://map.feedingamerica.org/county/2019/overall/maryland/county/allegany,12090,16.9,31.0,69.0,3.0,6210000.0,
2019,Anne Arundel,https://map.feedingamerica.org/county/2019/overall/maryland/county/anne-arundel,51420,9.0,55.0,45.0,3.47,30508000.0,
2019,Baltimore County,https://map.feedingamerica.org/county/2019/overall/maryland/county/baltimore,88250,10.7,41.0,59.0,3.25,48996000.0,
2019,Baltimore City,https://map.feedingamerica.org/county/2019/overall/maryland/county/baltimore-city,96190,15.8,23.0,77.0,3.6,59235000.0,
2019,Calvert,https://map.feedingamerica.org/county/2019/overall/maryland/county/calvert,7480,8.2,59.0,41.0,4.05,5181000.0,
2019,Caroline,https://map.feedingamerica.org/county/2019/overall/maryland/county/caroline,4400,13.3,17.0,83.0,3.12,2344000.0,
2019,Carroll,https://map.feedingamerica.org/county/2019/overall/maryland/county/carroll,16060,9.6,59.0,41.0,3.48,9546000.0,
2019,Cecil,https://map.feedingamerica.org/county/2019/overall/maryland/county/cecil,12750,12.4,38.0,62.0,3.12,6807000.0,
2019,Charles,https://map.feedingamerica.org/county/2019/overall/maryland/county/charles,11020,6.9,45.0,55.0,3.26,6147000.0,
2019,Dorchester,https://map.feedingamerica.org/county/2019/overall/maryland/county/dorchester,4730,14.7,22.0,78.0,3.08,2487000.0,
2019,Frederick,https://map.feedingamerica.org/county/2019/overall/maryland/county/frederick,24350,9.7,53.0,47.0,3.36,13981000.0,
2019,Garrett,https://map.feedingamerica.org/county/2019/overall/maryland/county/garrett,4050,13.9,22.0,78.0,3.1,2145000.0,
2019,Harford,https://map.feedingamerica.org/county/2019/overall/maryland/county/harford,24800,9.8,50.0,50.0,3.46,14684000.0,
2019,Howard,https://map.feedingamerica.org/county/2019/overall/maryland/county/howard,24620,7.7,58.0,42.0,3.78,15915000.0,
2019,Kent,https://map.feedingamerica.org/county/2019/overall/maryland/county/kent,2530,12.9,39.0,61.0,3.37,1455000.0,
2019,Montgomery,https://map.feedingamerica.org/county/2019/overall/maryland/county/montgomery,89270,8.6,41.0,59.0,3.89,59429000.0,
2019,Prince George's,https://map.feedingamerica.org/county/2019/overall/maryland/county/prince-georges,66420,7.3,25.0,75.0,3.3,37491000.0,
2019,Queen Anne's,https://map.feedingamerica.org/county/2019/overall/maryland/county/queen-annes,4670,9.4,58.0,42.0,4.07,3247000.0,
2019,Somerset,https://map.feedingamerica.org/county/2019/overall/maryland/county/somerset,4130,16.1,26.0,74.0,3.17,2237000.0,
2019,St. Mary's,https://map.feedingamerica.org/county/2019/overall/maryland/county/st-marys,12160,10.8,50.0,50.0,3.38,7025000.0,
2019,Talbot,https://map.feedingamerica.org/county/2019/overall/maryland/county/talbot,4400,11.8,47.0,54.0,3.45,2592000.0,
2019,Washington,https://map.feedingamerica.org/county/2019/overall/maryland/county/washington,21170,14.1,35.0,65.0,3.07,11125000.0,
2019,Wicomico,https://map.feedingamerica.org/county/2019/overall/maryland/county/wicomico,13940,13.6,20.0,80.0,3.0,7148000.0,
2019,Worcester,https://map.feedingamerica.org/county/2019/overall/maryland/county/worcester,7200,13.9,37.0,63.0,3.46,4263000.0,
2020,Allegany,https://map.feedingamerica.org/county/2020/overall/maryland/county/allegany,11040,15.6,27.0,73.0,3.26,5796000.0,
2020,Anne Arundel,https://map.feedingamerica.org/county/2020/overall/maryland/county/anne-arundel,47920,8.3,52.0,48.0,3.62,27948000.0,
2020,Baltimore County,https://map.feedingamerica.org/county/2020/overall/maryland/county/baltimore,85270,10.3,38.0,63.0,3.52,48366000.0,
2020,Baltimore City,https://map.feedingamerica.org/county/2020/overall/maryland/county/baltimore-city,93350,15.5,22.0,78.0,4.03,60594000.0,
2020,Calvert,https://map.feedingamerica.org/county/2020/overall/maryland/county/calvert,6590,7.2,54.0,46.0,4.09,4344000.0,
2020,Caroline,https://map.feedingamerica.org/county/2020/overall/maryland/county/caroline,4050,12.2,13.0,87.0,3.18,2074000.0,
2020,Carroll,https://map.feedingamerica.org/county/2020/overall/maryland/county/carroll,14310,8.5,56.0,45.0,3.63,8374000.0,
2020,Cecil,https://map.feedingamerica.org/county/2020/overall/maryland/county/cecil,11470,11.1,34.0,66.0,3.31,6111000.0,
2020,Charles,https://map.feedingamerica.org/county/2020/overall/maryland/county/charles,11570,7.2,45.0,55.0,3.39,6324000.0,
2020,Dorchester,https://map.feedingamerica.org/county/2020/overall/maryland/county/dorchester,4490,14.0,18.0,82.0,3.13,2261000.0,
2020,Frederick,https://map.feedingamerica.org/county/2020/overall/maryland/county/frederick,22780,8.9,51.0,49.0,3.57,13095000.0,
2020,Garrett,https://map.feedingamerica.org/county/2020/overall/maryland/county/garrett,3840,13.2,18.0,82.0,3.06,1892000.0,
2020,Harford,https://map.feedingamerica.org/county/2020/overall/maryland/county/harford,22480,8.9,48.0,52.0,3.72,13457000.0,
2020,Howard,https://map.feedingamerica.org/county/2020/overall/maryland/county/howard,23390,7.3,54.0,46.0,4.02,15134000.0,
2020,Kent,https://map.feedingamerica.org/county/2020/overall/maryland/county/kent,2340,12.0,37.0,63.0,4.05,1525000.0,
2020,Montgomery,https://map.feedingamerica.org/county/2020/overall/maryland/county/montgomery,87190,8.3,41.0,59.0,4.18,58650000.0,
2020,Prince George's,https://map.feedingamerica.org/county/2020/overall/maryland/county/prince-georges,74130,8.1,31.0,69.0,3.65,43602000.0,
2020,Queen Anne's,https://map.feedingamerica.org/county/2020/overall/maryland/county/queen-annes,4440,8.9,52.0,48.0,4.05,2893000.0,
2020,Somerset,https://map.feedingamerica.org/county/2020/overall/maryland/county/somerset,3810,14.8,29.0,71.0,3.29,2016000.0,
2020,St. Mary's,https://map.feedingamerica.org/county/2020/overall/maryland/county/st-marys,10830,9.6,43.0,57.0,3.52,6144000.0,
2020,Talbot,https://map.feedingamerica.org/county/2020/overall/maryland/county/talbot,4020,10.8,41.0,59.0,3.81,2467000.0,
2020,Washington,https://map.feedingamerica.org/county/2020/overall/maryland/county/washington,19850,13.2,34.0,66.0,3.19,10209000.0,
2020,Wicomico,https://map.feedingamerica.org/county/2020/overall/maryland/county/wicomico,13680,13.2,18.0,82.0,3.13,6897000.0,
2020,Worcester,https://map.feedingamerica.org/county/2020/overall/maryland/county/worcester,7130,13.7,35.0,65.0,3.56,4092000.0,
2021,Allegany,https://map.feedingamerica.org/county/2021/overall/maryland/county/allegany,10170,14.8,23.0,78.0,3.58,6437000.0,
2021,Anne Arundel,https://map.feedingamerica.org/county/2021/overall/maryland/county/anne-arundel,47260,8.1,52.0,48.0,4.06,33895000.0,
2021,Baltimore County,https://map.feedingamerica.org/county/2021/overall/maryland/county/baltimore,81700,9.6,37.0,63.0,3.91,56496000.0,
2021,Baltimore City,https://map.feedingamerica.org/county/2021/overall/maryland/county/baltimore-city,82780,14.0,26.0,75.0,4.43,64796000.0,
2021,Calvert,https://map.feedingamerica.org/county/2021/overall/maryland/county/calvert,6630,7.2,57.0,43.0,4.18,4896000.0,
2021,Caroline,https://map.feedingamerica.org/county/2021/overall/maryland/county/caroline,3830,11.5,6.0,94.0,3.39,2292000.0,
2021,Carroll,https://map.feedingamerica.org/county/2021/overall/maryland/county/carroll,15110,8.8,56.0,44.0,3.96,10575000.0,
