ObjectId,agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,Hours_Monday,ByAppointmentOnly_Monday,ResidentsOnly_Monday,Notes_Monday,Hours_Tuesday,ByAppointmentOnly_Tuesday,ResidentsOnly_Tuesday,Notes_Tuesday,Hours_Wednesday,ByAppointmentOnly_Wednesday,ResidentsOnly_Wednesday,Notes_Wednesday,Hours_Thursday,ByAppointmentOnly_Thursday,ResidentsOnly_Thursday,Notes_Thursday,Hours_Friday,ByAppointmentOnly_Friday,ResidentsOnly_Friday,Notes_Friday,Hours_Saturday,ByAppointmentOnly_Saturday,ResidentsOnly_Saturday,Notes_Saturday,Hours_Sunday,ByAppointmentOnly_Sunday,ResidentsOnly_Sunday,Notes_Sunday,TEFAP_Auto_Eligible,TEFAP_Income_Levels,county_clean
1,19601-PART-01,Silver Spring Christian Reformed Church,1501 Arcola Ave,,Silver Spring,MD,MD Montgomery County,20902,(301) 284-8401,foodpantry@sscrc.org,Non-TEFAP,39.045912,-77.031094,2026-04-13 00:00:00,,,,,"3:00 PM to 5:00 PM; 2nd of the Month
4:00 PM to 7:00 PM; 4th of the Month (Note: This distribution is by referral only.)","No
Yes",No,(Note: This distribution is by referral only.),,,,,,,,,,,,,,,,,,,,,,,Montgomery County
2,19734-PART-01,Breath of Life SDA Church,11310 Fort Washington Road,,Fort Washington,MD,MD Prince George's County,20744,(301) 292-2100,community.service@bolchurchmd.org,Non-TEFAP,38.739571,-77.000027,2026-04-08 00:00:00,,,,,,,,,"9:30 AM to 5:00 PM; 2nd of the Month (Note: In case of emergency needs, contact the church secretary.)",No,No,"(Note: In case of emergency needs, contact the church secretary.)",,,,,,,,,,,,,,,,,,,Prince George's County
3,16175-PART-01,ISKCON of Washington,10310 Oaklyn Dr,,Potomac,MD,MD Montgomery County,20854,(301) 299-2100,sharmilabcs@gmail.com,Non-TEFAP,39.002361,-77.214153,2026-04-17 00:00:00,"1:00 PM to 2:00 PM; Every week
6:00 PM to 7:00 PM; Every week",No,No,,"1:00 PM to 2:00 PM; Every week
6:00 PM to 7:00 PM; Every week",No,No,,"1:00 PM to 2:00 PM; Every week
6:00 PM to 7:00 PM; Every week",No,No,,"1:00 PM to 2:00 PM; Every week
6:00 PM to 7:00 PM; Every week",No,No,,"1:00 PM to 2:00 PM; Every week
6:00 PM to 7:00 PM; Every week",No,No,,1:00 PM to 7:00 PM; Every week,No,No,,2:00 PM to 7:00 PM; Every week,No,No,,,,Montgomery County
4,19771-PART-01,"New Hope and Life Church of God, Inc.",8616 Edgeworth Drive,,Capitol Heights,MD,MD Prince George's County,20743,(301) 324-5200,newhopeandlifechurchofgod@gmail.com,TEFAP Available,38.880922,-76.856369,2026-04-14 00:00:00,,,,,,,,,10:00 AM to Until Food Runs Out; Every week (Note: Appointments can be made in case of emergency),No,No,(Note: Appointments can be made in case of emergency),,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Prince George's County
5,19843-PART-01,St. Matthias Catholic Church,9475 Annapolis,,Lanham,MD,MD Prince George's County,20706,(301) 325-6843,ezaldivar@stmatthias.org,Non-TEFAP,38.963835,-76.840698,2026-04-23 00:00:00,,,,,,,,,,,,,,,,,9:00 AM to Until Food Runs Out; 2nd and 4th of the Month (Note: Service Insights ID card),No,No,(Note: Service Insights ID card),,,,,,,,,,,Prince George's County
7,19658-PART-01,Nourish Now,397 EAST GUDE DR,,Rockville,MD,MD Montgomery County,20850,(301) 330-0222,stephengormley@nourishnow.org,Non-TEFAP,39.106314,-77.152119,2026-04-15 00:00:00,9:00 AM to 4:00 PM; Every week,Yes,No,,9:30 AM to 4:30 PM; Every week (Note: All of our offsite distributions are open to the public.),Yes,No,(Note: All of our offsite distributions are open to the public.),9:30 AM to 4:30 PM; Every week (Note: All of our offsite distributions are open to the public.),Yes,No,(Note: All of our offsite distributions are open to the public.),9:30 AM to 4:30 PM; Every week (Note: All of our offsite distributions are open to the public.),Yes,No,(Note: All of our offsite distributions are open to the public.),9:00 AM to 4:00 PM; Every week (Note: All of our offsite distributions are open to the public.),Yes,No,(Note: All of our offsite distributions are open to the public.),,,,,,,,,,,Montgomery County
8,19819-PART-01,Impact One Church,7230 Central Avenue,,Capitol Heights,MD,MD Prince George's County,20743,(301) 333-2083,marie.king@impactonechurch.org,Non-TEFAP,38.88842,-76.881084,2026-04-03 00:00:00,,,,,,,,,,,,,,,,,,,,,"11:00 AM to 2:00 PM; 2nd and 4th of the Month (Note: 11 - until supplies last, please stress that client must register and receive an appointment  timeahead of time at this link: impactonechurch.churchcenter.com)",Yes,No,"(Note: 11 - until supplies last, please stress that client must register and receive an appointment  timeahead of time at this link: impactonechurch.churchcenter.com)",,,,,,,Prince George's County
9,19755-PART-01,"Mission of Love Charities, Inc.",6180 Central Avenue,,Capitol Heights,MD,MD Prince George's County,20743,(301) 333-4440,gtorrence@molc-inc.org,Non-TEFAP,38.886448,-76.903005,2026-04-08 00:00:00,8:00 AM to 2:30 PM; Every week (Note: Prepared Meals as well),No,No,(Note: Prepared Meals as well),8:00 AM to 2:30 PM; Every week (Note: Prepared Meals as well),No,No,(Note: Prepared Meals as well),8:00 AM to 2:30 PM; Every week (Note: Prepared Meals as well),No,No,(Note: Prepared Meals as well),8:00 AM to 2:30 PM; Every week (Note: Prepared Meals as well),No,No,(Note: Prepared Meals as well),8:00 AM to 12:30 PM; Every week (Note: Prepared Meals as well),No,No,(Note: Prepared Meals as well),,,,,,,,,,,Prince George's County
10,14850-PART-01,First Baptist Church of Capitol Heights,6 Capitol Heights Blvd,,Capitol Heights,MD,MD Prince George's County,20743,(301) 336-0722,fbcchfoodpantry@outlook.com,TEFAP Available,38.885204,-76.91388,2026-04-09 00:00:00,,,,,10:00 AM to 1:00 PM; Every Other Week,Yes,Yes,,,,,,10:00 AM to 1:00 PM; Every Other Week,Yes,Yes,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Prince George's County
11,18280-MOMK-02,Trinidad Baptist Church,6611 Walker Mill Rd,,Capitol Heights,MD,MD Prince George's County,20743,(301) 341-4901,idastew@yahoo.com,Non-TEFAP,38.904791,-76.91955,2026-04-10 00:00:00,,,,,,,,,,,,,,,,,9:00 AM to 11:00 AM; 2nd of the Month,No,No,,,,,,,,,,,,Prince George's County
12,17065-MOMK-01,Faith Temple No. 2 Church,211 Maryland Park Drive,,Capital Heights,MD,MD Prince George's County,20743,(301) 350-1035,rhineshiggs@aol.com,Non-TEFAP,38.891522,-76.909188,2026-04-17 00:00:00,,,,,,,,,,,,,,,,,10:00 AM to 12:00 PM; 3rd of the Month,No,No,,,,,,,,,,,,Prince George's County
