Name,Address,City,State,Zip,Category
ADMAS MARKET,7453 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store
AFRIK FARMERS MARKET,6689 OLD LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store
AFRIK INTERNATIONAL FOOD MARKET,6690 OLD LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store
ALDI #175,8827 WOODYARD ROAD,CLINTON,MD,20735,Grocery Store- Medium
ALDI #45,10912 BALTIMORE AVENUE,BELTSVILLE,MD,20705,Grocery Store- Medium
ALDI #52,14100 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store- Medium
ALDI 41,6524 LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store- Medium
ALDI INC # 25,6301 MARLBORO PIKE,DISTRICT HEIGHTS,MD,20747,Grocery Store- Medium
ALDI INC # 37,6810 RACE TRACK ROAD,BOWIE,MD,20715,Grocery Store- Medium
ALDI INC #06,3025 HAMILTON STREET,HYATTSVILLE,MD,20782,Grocery Store- Medium
ALDI INC #08,9343 ANNAPOLIS ROAD,LANHAM,MD,20706,Grocery Store- Medium
ALDI INC #19,6301 LIVINGSTON ROAD,OXON HILL,MD,20745,Grocery Store- Medium
ALDI' INC #36,6400 ALLENTOWN ROAD,TEMPLE HILLS,MD,20748,Grocery Store- Medium
ALDI INC #38,7500 ALBERT ROAD,BRANDYWINE,MD,20613,Grocery Store- Medium
AL-MADINA HALAL MEAT & GROCERY,15101 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store
AMERICANA GROCERY OF MARYLAND,4900 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,Grocery Store- Medium
ATLANTIC SUPERMARKET,7901 NEW HAMPSHIRE AVENUE,HYATTSVILLE,MD,20783,Grocery Store- Medium
B K MILLER SUPER LIQUORS,9024 OLD BRANCH AVENUE,CLINTON,MD,20735,Grocery Store
