Name,Address,City,State,Zip,Category
KASHMIR BAZAAR HALAL MEAT AND GROCERY,10400 RHODE ISLAND AVENUE UNIT A,BELTSVILLE,MD,20705,Meat/Poultry Market
MOM'S ORGANIC MARKET,9801 RHODE ISLAND AVENUE,COLLEGE PARK,MD,20740,Grocery Store- Medium
GREENBELT CONSUMER COOPERATIVE,121 CENTERWAY,GREENBELT,MD,20770,Grocery Store- Medium
CAMERON'S SEAFOOD MARKET #9,12725 LAUREL BOWIE ROAD,LAUREL,MD,20708,Seafood
LOS AMIGOS LATIN MARKET,5003 GREENBELT ROAD,COLLEGE PARK,MD,20740,Grocery Store
ATLANTIC SUPERMARKET,7901 NEW HAMPSHIRE AVENUE,HYATTSVILLE,MD,20783,Grocery Store- Medium
GIANT FOOD STORE #326,10501 GREENBELT ROAD,LANHAM,MD,20706,Grocery Store - Large
DANICA ORIENTAL MART,7408 LAUREL BOWIE ROAD,BOWIE,MD,20715,Grocery Store
ALDI INC #08,9343 ANNAPOLIS ROAD,LANHAM,MD,20706,Grocery Store- Medium
MEGA FARMERS MARKET,2400 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Grocery Store- Medium
PATEL BROTHERS INC.,2074 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Grocery Store- Medium
SHOPPERS FOOD #52035 (2353),806 LARGO CENTER DRIVE,UPPER MARLBORO,MD,20774,Grocery Store - Large
WEIS MARKETS #290,12100 CENTRAL AVENUE,BOWIE,MD,20721,Grocery Store - Large
EKO INTERNATIONAL FOOD STORE,6580 AGER ROAD,HYATTSVILLE,MD,20782,Grocery Store
KMART #3798,6411 RIGGS ROAD,HYATTSVILLE,MD,20783,Grocery Store
GIANT FOOD STORE #334,3521 EAST WEST HIGHWAY,HYATTSVILLE,MD,20782,Grocery Store - Large
INTERNATIONAL PROGRESO MARKET,6211 BELCREST ROAD,HYATTSVILLE,MD,20782,Grocery Store
GIANT FOOD STORE #315,7546 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store - Large
SAFEWAY #1804,4101 NORTHVIEW DRIVE,BOWIE,MD,20716,Grocery Store - Large
