place_name,address,phone,hours,notes
Martin's House and Barn,14374 Benedictine Lane,(410) 634-2537,"Tues, Thurs, Fri 8:30 - 11:30 am; Wednesday, 6 - 7:30 pm",
Ridgely United Methodist Church,109 Central Avenue,(302) 331-1010,"Monthly on 2nd & 4th Wed., 2 - 4 pm",Spirit and Mind Incorporated | Food Boxes only by appointment as needed.
Aaron’s Place Mobile at Preston Lions Club,114 Williamson Street,(410) 829-9393,"4th Wed, 10 am; Everyday, 9 am - 5 pm","February, April, June, August, October, December | LNT Seafood | 233 Main Street"
Aaron’s Place,100 N. 6 Street,(410) 479-3298,"Every Tuesday, 11:30 am to 4 pm; Every Wednesday, 9:30 am to 3 pm; 3rd Thursday, 11 am; Tuesday, 11:00 am","t h | January, March, May, July, September, November | Soup Kitchen"
Samaritan House,12 N. 5th Street,(410) 479-1251,"Wednesday, Thursday, Friday 10 am - 2 pm; Saturday 9 am - Noon",Call for Required Information
Thinking of You Pantry Living Waters Assembly,9058 Double Hills Road,(410) 829-3158,"Every Wednesday, 7 pm; 4th Thursdays, 11 am, February, April, June,; 2nd Saturday of each month, 7 am —; until food is gone","If you are in need of immediatate food | assistance please reach out directly to | these organizations. Many provide | emergency food boxes as well as | scheduled pantry events.Need Immediate | Food Assistance? | Marydel | Aarons Place Mobile at | Iglesia de Dios El Buen Camino | 18161 Henderson Road | August, October, December | Goldsboro | Giving Grace | Goldsboro Fire Hall, 700 Old Line Road | Sponsored by NCCA"
Aaron’s Place at Community Civic League,3439 Laurel Grove Road,(410) 479-0292,"1st and 3rd Wednesday of Every Month; 4 pm to 6 pm; 4th Thursday, 11 am","Mobile Pantry | January, March, May, July, September, November"
Aaron’s Place at Union Methodist Church,301 N Main Street,(410) 754-9210,"Sundays after service, 11:30 am to 1 pm",
Aaron’s Place - Federalsburg Elementary Judy Center Early Learning Hub,323 S. University Avenue,(410) 479-3050,"Monday - Thursday, 9 am-3 pm; Following CCPS calendar",
Aaron’s Place in Greensboro,111 S. Main Street,(410) 479-0292,"Monthly, 1st and 3rd Thursday, 10 am - 1 pm",
St Paul United Methodist Church,300 Sunset Avenue,(410) 479-3261,"Saturdays, 10 am - Noon",Food For Learning | Caroline County Public Schools | Program Info & Request Form
