type,county,name,address,hours,days
Food Pantry,Allegany,Salvation Army,"701 E. First St., Cumberland, MD 21502",8am-4pm,Mon-Fri
Food Pantry,Allegany,Lavale U.M.C,"565 National Highway, Lavandale, MD 21502",9:30am-3:30pm,Tue-Fri
Food Pantry,Allegany,Christ U.M.C.,"4th & Race Street, Cumberland, MD 21502",8am-4pm,Mon-Fri
Food Pantry,Allegany,Frostburgh Pantry,"P.O. Box 301, Frostburgh, MD 21532",10am-2pm,Mon-Fri
Food Pantry,Allegany,Cumberland Church of God,"401 Industrial Blvd., Cumberland, MD 21502",10am-1pm/4-6pm,"Wed,Fri"
Food Pantry,Allegany,John F. Kennedy (Restricted - tenants only),"Mechanic St., #408, Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Cumberland Manor (Restricted - tenants only),"29 Baltimore Ave., Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Booth Towers (Restricted - tenants only),"220 Sommerville Ave., Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Queen City Towers (Restricted - tenants only),"235 Paca Street., Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Interfaith Pantry,"301 Cumberland St., Cumberland, MD 21502",9am-2pm,Mon-Fri
Food Pantry,Allegany,Healing Hunger,"19210 Opessa St. S/E, Oldtown, MD 21555",9am-2pm,Tue & Fri
Food Pantry,Allegany,Hope Station,"6 Pershing St., Cumberland, MD 21502",9am-3pm,Mon-Fri
Food Pantry,Allegany,Lavale Assembly Church,"525 National Highway, Lavale, MD 21502",10am-11am,Mon-Fri
Food Pantry,Anne Arundel,All Hallows Episcopal Church,"3604 Sol. Is. Rd, Davidsonville, MD 21035",9:30am-12pm,Mon
Food Pantry,Anne Arundel,Annapolis Church of God,"84 Janwal Street, Annapolis, MD 21403","9am-5pm, 11-2pm","Tue,Th,Fri,Sun"
Food Pantry,Anne Arundel,Annapolis Garden,"1840 Bowman Court, Annapolis, MD 21401",Call,
Food Pantry,Anne Arundel,Annapolis Spanish Church,"1840 Margaret Avenue, Annapolis, MD 21401",12-2pm,Sat
Food Pantry,Anne Arundel,Apostolic House of Prayer,"413 Headquarters Dr., Millersville",Call,Mon-Fri
Food Pantry,Anne Arundel,Asbury Broadneck UMC,"657 Broadneck Rd., Annapolis, MD 21401",10-12pm,2nd & 4th Th
Food Pantry,Anne Arundel,Asbury UMC,"87 West Street, Annapolis, MD 21401",1-3pm,"Wed,Fri,Sat"
Food Pantry,Anne Arundel,Beacon Light 7th Day,"1943 Drew Street, Annapolis, MD 21403",7-9:30pm,Tue
Food Pantry,Anne Arundel,Advent,,9-9:30am,Sat
Food Pantry,Anne Arundel,Brooklyn Heights UMC,"110 Townsend Ave., Brooklyn, MD 21225",Call,Mon-Fri
Food Pantry,Anne Arundel,Brooklyn UMC,"4th & Pontiac, Brooklyn MD 21225",9am-12noon,"Mon,Wed,Th"
Food Pantry,Anne Arundel,Burwood Gardens,"6652 Shelly Rd., Glen Burnie, MD 21061",Call,Mon-Fri
