year,county,url,food_insecure_population,food_insecurity_rate,snap_above_threshold_pct,snap_below_threshold_pct,average_meal_cost,annual_food_budget_shortfall,scrape_error
2019,Allegany,https://map.feedingamerica.org/county/2019/overall/maryland/county/allegany,"12,090",16.9%,31%,69%,$3.00,"$6,210,000",
2019,Anne Arundel,https://map.feedingamerica.org/county/2019/overall/maryland/county/anne-arundel,"51,420",9.0%,55%,45%,$3.47,"$30,508,000",
2019,Baltimore County,https://map.feedingamerica.org/county/2019/overall/maryland/county/baltimore,"88,250",10.70%,41%,59%,$3.25,"$48,996,000",
2019,Baltimore City,https://map.feedingamerica.org/county/2019/overall/maryland/county/baltimore-city,"96,190",15.8%,23%,77%,$3.60,"$59,235,000",
2019,Calvert,https://map.feedingamerica.org/county/2019/overall/maryland/county/calvert,"7,480",8.2%,59%,41%,$4.05,"$5,181,000",
2019,Caroline,https://map.feedingamerica.org/county/2019/overall/maryland/county/caroline,"4,400",13.3%,17%,83%,$3.12,"$2,344,000",
2019,Carroll,https://map.feedingamerica.org/county/2019/overall/maryland/county/carroll,"16,060",9.6%,59%,41%,$3.48,"$9,546,000",
2019,Cecil,https://map.feedingamerica.org/county/2019/overall/maryland/county/cecil,"12,750",12.4%,38%,62%,$3.12,"$6,807,000",
2019,Charles,https://map.feedingamerica.org/county/2019/overall/maryland/county/charles,"11,020",6.9%,45%,55%,$3.26,"$6,147,000",
2019,Dorchester,https://map.feedingamerica.org/county/2019/overall/maryland/county/dorchester,"4,730",14.7%,22%,78%,$3.08,"$2,487,000",
2019,Frederick,https://map.feedingamerica.org/county/2019/overall/maryland/county/frederick,"24,350",9.7%,53%,47%,$3.36,"$13,981,000",
2019,Garrett,https://map.feedingamerica.org/county/2019/overall/maryland/county/garrett,"4,050",13.9%,22%,78%,$3.10,"$2,145,000",
2019,Harford,https://map.feedingamerica.org/county/2019/overall/maryland/county/harford,"24,800",9.8%,50%,50%,$3.46,"$14,684,000",
2019,Howard,https://map.feedingamerica.org/county/2019/overall/maryland/county/howard,"24,620",7.7%,58%,42%,$3.78,"$15,915,000",
2019,Kent,https://map.feedingamerica.org/county/2019/overall/maryland/county/kent,"2,530",12.9%,39%,61%,$3.37,"$1,455,000",
2019,Montgomery,https://map.feedingamerica.org/county/2019/overall/maryland/county/montgomery,"89,270",8.6%,41%,59%,$3.89,"$59,429,000",
2019,Prince George's,https://map.feedingamerica.org/county/2019/overall/maryland/county/prince-georges,"66,420",7.3%,25%,75%,$3.30,"$37,491,000",
2019,Queen Anne's,https://map.feedingamerica.org/county/2019/overall/maryland/county/queen-annes,"4,670",9.4%,58%,42%,$4.07,"$3,247,000",
2019,Somerset,https://map.feedingamerica.org/county/2019/overall/maryland/county/somerset,"4,130",16.1%,26%,74%,$3.17,"$2,237,000",
2019,St. Mary's,https://map.feedingamerica.org/county/2019/overall/maryland/county/st-marys,"12,160",10.8%,50%,50%,$3.38,"$7,025,000",
2019,Talbot,https://map.feedingamerica.org/county/2019/overall/maryland/county/talbot,"4,400",11.8%,47%,54%,$3.45,"$2,592,000",
2019,Washington,https://map.feedingamerica.org/county/2019/overall/maryland/county/washington,"21,170",14.1%,35%,65%,$3.07,"$11,125,000",
