Record_ID,ObjectId,Store_Name,State,City,Additonal_Address,County,Grantee_Name,Incentive_Program,Latitude,Longitude,Store_Street_Address,Store_Type,Zip4,Zip_Code
954133,12,7-Eleven Inc F 29720,MD,Hyattsville,,PRINCE GEORGES,,,38.969913,-76.976501,2000 E West Hwy,Convenience Store,1700,20782
1628120,82,24/7 Best Convenience,MD,Temple Hills,,PRINCE GEORGES,,,38.849102,-76.953423,3212 Branch Ave,Convenience Store,1113,20748
1632454,139,Erdman Amoco,MD,Baltimore,,BALTIMORE CITY,,,39.306442,-76.559082,4901 Erdman Ave,Convenience Store,3105,21205
1634302,216,CVS Pharmacy 2956,MD,New Market,,FREDERICK,,,39.382496,-77.256149,5414 Rotary Ave,Other,6117,21774
1634064,217,Delaney Glen Farm,MD,Westminster,,CARROLL,,,39.632469,-77.071167,2135 Tyrone Rd,Farmers and Markets,2631,21158
1609859,218,6 Eleven Market,MD,Baltimore,,BALTIMORE CITY,,,39.294239,-76.639664,501 N Calhoun St,Convenience Store,1578,21223
1630963,408,Noah's Grocery Store,MD,Baltimore,,BALTIMORE CITY,,,39.292702,-76.650551,338 N Pulaski St,Convenience Store,1502,21223
1630229,409,Big Boys Carryout,MD,Baltimore,,BALTIMORE CITY,,,39.294712,-76.663353,2810 Edmondson Ave,Convenience Store,1009,21223
1683995,421,Communitas Farm,MD,Hampstead,,BALTIMORE,,,39.609394,-76.816452,17611 Grace Rd,Farmers and Markets,2916,21074
1672055,425,Two Time Mini Mart,MD,Baltimore,,BALTIMORE CITY,,,39.292381,-76.638618,300 N Carey St,Grocery Store,2285,21223
1626023,432,The Corner Pocket Convenience And Grocery,MD,Baltimore,,BALTIMORE CITY,,,39.306786,-76.582573,1333 N Milton Ave,Grocery Store,3607,21213
1630423,542,Rex's Deli,MD,Baltimore,Ste 19,BALTIMORE CITY,,,39.298096,-76.587532,2101 E Monument St,Other,2328,21205
894148,543,7-Eleven Inc F 33708,MD,Silver Spring,,MONTGOMERY,,,39.05666,-76.965439,12257 Tech Rd,Convenience Store,1901,20904
1425583,545,Divina Providencia 3,MD,Owings Mills,,BALTIMORE,,,39.437099,-76.802307,11312 Reisterstown Rd,Grocery Store,1812,21117
1619616,546,Mehret Ethiopian Market,MD,Silver Spring,Unit I,MONTGOMERY,,,39.059544,-77.049263,12345 Georgia Ave,Other,3600,20906
1631261,607,La Bendicion Market 2,MD,Bryans Road,,CHARLES,,,38.629642,-77.075127,3105 Marshall Hall Rd,Grocery Store,4263,20616
