tract_id,tract_id2,healthy_store_count,unhealthy_store_count,rfei,is_healthy_food_priority_area,tier,municipality_name,municipality_city,municipality_zip
801308,3.08,0,0,0.0,No,,,,
801302,3.02,0,1,0.0,No,,,,
801307,3.07,1,18,5.26315789,No,,,,
800701,7.01,0,0,0.0,No,,UPPER MARLBORO,Upper Marlboro,20773.0
800701,7.01,0,0,0.0,No,,CAPITOL HEIGHTS,Capitol Heights,20743.0
802203,2.03,2,9,18.18181818,Yes,,DISTRICT HEIGHTS,District Heights,20747.0
802203,2.03,2,9,18.18181818,Yes,,CAPITOL HEIGHTS,Capitol Heights,20743.0
802204,2.04,1,24,4.0,No,,DISTRICT HEIGHTS,District Heights,20747.0
802204,2.04,1,24,4.0,No,,CAPITOL HEIGHTS,Capitol Heights,20743.0
802204,2.04,1,24,4.0,No,,SEAT PLEASANT,Seat Pleasant,20743.0
801901,9.01,0,6,0.0,No,,,,
801904,9.04,2,14,12.5,Yes,,MORNINGSIDE,Morningside,20746.0
801905,9.05,0,2,0.0,No,,MORNINGSIDE,Morningside,20746.0
802406,4.06,1,4,20.0,Yes,,,,
802301,3.01,0,4,0.0,No,,DISTRICT HEIGHTS,District Heights,20747.0
800413,4.13,1,5,16.66666667,No,,,,
800412,4.12,0,0,0.0,No,,,,
800514,5.14,2,2,50.0,No,,BOWIE,Bowie,20716.0
802404,4.04,0,2,0.0,Yes,,DISTRICT HEIGHTS,District Heights,20747.0
802404,4.04,0,2,0.0,Yes,,CAPITOL HEIGHTS,Capitol Heights,20743.0
801906,9.06,0,1,0.0,Yes,,MORNINGSIDE,Morningside,20746.0
802103,1.03,4,21,16.0,No,,DISTRICT HEIGHTS,District Heights,20747.0
802104,1.04,0,1,0.0,Yes,,,,
801802,8.02,2,16,11.11111111,Yes,,,,
801804,8.04,0,0,0.0,No,,,,
801805,8.05,0,8,0.0,Yes,,,,
802502,5.02,0,12,0.0,Yes,,,,
801801,8.01,0,7,0.0,Yes,,,,
802001,0.01,2,7,22.22222222,Yes,,,,
800504,5.04,1,9,10.0,No,,BOWIE,Bowie,20716.0
800505,5.05,0,0,0.0,No,,BOWIE,Bowie,20716.0
800518,5.18,0,1,0.0,No,,BOWIE,Bowie,20716.0
800608,6.08,0,5,0.0,No,,,,
800511,5.11,0,5,0.0,No,,BOWIE,Bowie,20716.0
800509,5.09,1,8,11.11111111,No,,BOWIE,Bowie,20716.0
801104,1.04,0,0,0.0,No,,MORNINGSIDE,Morningside,20746.0
801207,2.07,0,1,0.0,No,,,,
800103,1.03,7,17,29.16666667,No,,,,
800105,1.05,0,1,0.0,No,,,,
807305,3.05,0,0,0.0,No,,COLLEGE PARK,College Park,20740.0
805908,9.08,2,22,8.33333333,Yes,,HYATTSVILLE,Hyattsville,20781.0
800206,2.06,0,0,0.0,No,,,,
800208,2.08,0,0,0.0,No,,,,
800102,1.02,2,2,50.0,No,,,,
800203,2.03,0,0,0.0,No,,,,
